Name,Skill,Dam,Crit,Range,Encumbrance,HP,(Restricted),Price,Rarity,Special,Category
"Mini-Torpedo, Anti-Personnel",Ranged (Heavy),8,2,Long,1,0,,100,5,"Blast 6, Limited Ammo 1",MINI-TORPEDOS
"Mini-Torpedo, Armor Piercing",Ranged (Heavy),12,3,Medium,1,0,,150,6,"Blast 2, Limited Ammo 1, Pierce 4",MINI-TORPEDOS
"Mini-Torpedo, Ink",Ranged (Heavy),0,n/a,Long,1,0,,50,6,"Blast 0, Disorient 4, Limited Ammo 1",MINI-TORPEDOS
"Mini-Torpedo, Ion",Ranged (Heavy),10,2,Long,1,0,,150,6,"Blast 8, Ion, Limited Ammo 1",MINI-TORPEDOS
"Mini-Torpedo, Net",Ranged (Heavy),0,n/a,Medium,1,0,,100,5,"Blast 0, Ensnare 6, Limited Ammo 1",MINI-TORPEDOS
"Mini-Torpedo, Stun",Ranged (Heavy),8,2,Long,1,0,,300,5,"Blast 4, Concussive 2, Limited Ammo 1, Stun Damage",MINI-TORPEDOS
Concussion Missile,Gunnery,14,4,Extreme,0,0,,200,8,"Blast 10, Concussive 3, Disorient 5, Guided 2",MISSILES
Fragmentation Missile,Gunnery,12,4,Extreme,0,0,,75,7,"Blast 12, Guided 3",MISSILES
High-Explosive Missile,Gunnery,18,3,Long,-,0,(Restricted),200,6,"Blast 6, Breach 2, Guided 2",MISSILES
Incendiary Missile,Gunnery,10,3,Extreme,0,0,(Restricted),145,7,"Blast 10, Burn 3, Guided 2",MISSILES
Plasma Missile,Gunnery,16,3,Medium,0,0,(Restricted),160,8,"Blast 14, Cumbersome 3, Inaccurate 1, Pierce 2",MISSILES
"""Impact"" Repulsor Cannon",Ranged (Heavy),3,6,Medium,5,1,,"1,000",7,"Blast 3, Concussive 1, Knockdown, Prepare 1, Slow-Firing 1",OTHER ENERGY WEAPONS
AJ-23 Concussive Rifle,Ranged (Heavy),8,5,Short,4,2,,"8,000",4,"Blast 7, Concussive 2, Inaccurate 2, Knockdown, Stun Damage",OTHER ENERGY WEAPONS
1.8 FD Anti-Infantry Autoturret,Gunnery,17,2,Extreme,25,0,(Restricted),"12,000",6,"Auto-fire, Slow-Firing 1, Limited Ammo 8",OTHER ENERGY WEAPONS
Bowcaster (microexplosive quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Cumbersome 3, Knockdown",OTHER ENERGY WEAPONS
Bowcaster (armor-piercing quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Cumbersome 3, Pierce 3",OTHER ENERGY WEAPONS
Bowcaster (high explosive quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Blast 6, Cumbersome 3",OTHER ENERGY WEAPONS
Bowcaster (sonic detonator quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Blast 4, Disorient 2, Cumbersome 3",OTHER ENERGY WEAPONS
Bowcaster (flash quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,"Concussive 1, Cumbersome 3",OTHER ENERGY WEAPONS
Bowcaster (smoke quarrel),Ranged (Heavy),10,3,Medium,5,2,,"1,250",7,Cumbersome 3,OTHER ENERGY WEAPONS
D-29 Repulsor Rifle,Gunnery,8,4,Medium,3,3,,"1,550",7,"Disorient 3, Knockdown, Stun Damage",OTHER ENERGY WEAPONS
Energy Bow,Ranged (Heavy),8,2,Medium,4,2,(Restricted),"2,800",8,"Pierce 4, Unwieldy 3, Vicious 2",OTHER ENERGY WEAPONS
Energy Slingshot,Ranged (Light),3,-,Short,1,0,,40,4,"Disorient 2, Stun Damage",OTHER ENERGY WEAPONS
Electronet (GaG),Melee,+6,6,Medium,2,0,,350,6,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",OTHER ENERGY WEAPONS
Electronet (KtP),Melee,6,6,Medium,2,0,,350,6,"Ensnare 5, Knockdown, Limited Ammo 1, Stun Damage",OTHER ENERGY WEAPONS
Electronet Launcher,Ranged (Heavy),6,-,Short,6,3,,"2,000",7,"Ensnare 5, Stun Damage",OTHER ENERGY WEAPONS
Droid Disabler,Ranged (Light),12,3,Short,1,1,,"1,050",5,"Concussive 1, Ion, Limited Ammo 3",OTHER ENERGY WEAPONS
Kyuzo Energy Bow,Ranged (Heavy),9,4,Long,6,1,,"2,400",8,"Cumbersome 3, Knockdown, Pierce 5",OTHER ENERGY WEAPONS
Lightbow,Ranged (Heavy),11,3,Long,5,1,,"2,000",8,"Blast 4, Knockdown, Pierce 3, Slow-Firing 1",OTHER ENERGY WEAPONS
SWE/2 Sonic Rifle,Ranged (Heavy),8,6,Long,4,0,,"1,200",6,"Concussive 1, Slow-Firing 1, Stun Damage",OTHER ENERGY WEAPONS
"""Firecaller"" Light Flame Projector",Ranged (Light),5,2,Short,4,1,(Restricted),"1,200",7,"Blast 2, Burn 2, Pierce 2, Vicious 3",OTHER EXPLOSIVES & ORDNANCE
X-42 Heavy Flame Projector,Gunnery,10,2,Medium,6,2,(Restricted),"2,000",7,"Blast 6, Burn 4, Vicious 1",OTHER EXPLOSIVES & ORDNANCE
Czerka CZ-28 Flamestrike,Gunnery,9,2,Short,8,3,(Restricted),"2,000",8,"Burn 4, Blast 9, Cumbersome 3, Vicious 2",OTHER EXPLOSIVES & ORDNANCE
Flame Projector,Ranged (Heavy),8,2,Short,6,2,,"1,000",6,"Blast 8, Burn 3",OTHER EXPLOSIVES & ORDNANCE
Gungan Plasma Ball,Ranged (Light),5,3,Short,0,0,,20,7,"Burn 1, Ion, Limited Ammo 1",OTHER EXPLOSIVES & ORDNANCE
Mk VIII Gravitic Mortar Launcher,Gunnery,4,NA,Long,6,1,(Restricted),"2,800",7,"Inaccurate 1, Prepare 1",OTHER EXPLOSIVES & ORDNANCE
Model 201 Mortar System,Gunnery,15,3,Extreme,10,1,(Restricted),"5,400",7,"Blast 12, Breach 1, Limited Ammo 5, Prepare 2, Slow-Firing 1",OTHER EXPLOSIVES & ORDNANCE
Under-barrel Flame Projector,Ranged (Heavy),10,2,Short,-,-,(Restricted),"3,000",5,"Blast 2, Burn 5",OTHER EXPLOSIVES & ORDNANCE
Z-6 Jetpack (integrated missile launcher),Ranged (Heavy),15,3,Long,3,-,,"5,250",7,"Blast 10, Breach 1, Inaccurate 1, Limited Ammo 5, Prepare 1",OTHER EXPLOSIVES & ORDNANCE
Corellian Compound Bow (regular arrows),Ranged (Heavy),5,5,Medium,3,1,,200,5,"Cumbersome 3, Knockdown, Limited Ammo 1, Pierce 1",OTHER PROJECTILE WEAPONS
Dart Gun (gear attachment),Ranged (Light),2,5,Short,-,-,,200,4,"Limited Ammo 1, Pierce 1",OTHER PROJECTILE WEAPONS
Explosive Tipped Arrows (Corellian Compound Bow),Ranged (Light),6,5,Medium,0,0,,50,6,"Blast 4, Limited Ammo 1",OTHER PROJECTILE WEAPONS
Explosive Tipped Arrow (FS19 Compound Bow),Ranged (Heavy),6,3,Medium,0,0,,50,5,"Blast 4, Limited Ammo 1",OTHER PROJECTILE WEAPONS
FS19 Compound Bow (broadhead arrow),Ranged (Heavy),5,4,Medium,4,2,,500,7,"Cumbersome 3, Limited Ammo 1, Pierce 1, Vicious 2",OTHER PROJECTILE WEAPONS
Incendiary Arrow (FS19 Compound Bow),Ranged (Heavy),6,5,Medium,0,0,,60,5,"Burn 2, Limited Ammo 1",OTHER PROJECTILE WEAPONS
Net Arrow (FS19 Compound Bow),Ranged (Heavy),2,NA,Medium,0,0,,30,5,"Ensnare 2, Limited Ammo 1",OTHER PROJECTILE WEAPONS
Stun Arrows (Corellian Compound Bow),Ranged (Light),6,NA,Medium,0,0,,60,6,"Limited Ammo 1, Stun Damage",OTHER PROJECTILE WEAPONS
Stun Arrow (FS19 Compound Bow),Ranged (Heavy),6,NA,Medium,0,0,,60,6,"Limited Ammo 1, Stun Damage",OTHER PROJECTILE WEAPONS
Grapnel-Harpoon Launcher,Ranged (Light),3,5,Medium,2,0,,450,5,Ensnare 3,OTHER PROJECTILE WEAPONS
Mk I Saberdart,Ranged (Light),1,-,Long,3,2,,"1,600",9,Limited Ammo 1,OTHER PROJECTILE WEAPONS
Longbow,Ranged (Heavy),5,5,Long,5,1,,120,4,"Cumbersome 3, Limited Ammo 1, Pierce 1",OTHER PROJECTILE WEAPONS
NX-14 Needler,Ranged (Light),5,-,Short,1,1,(Restricted),650,7,Pierce 3,OTHER PROJECTILE WEAPONS
Stealth-2VX Palm Shooter,Ranged (Light),1,5,Short,0,0,,300,5,Limited Ammo 3,OTHER PROJECTILE WEAPONS
Styanax Lance,Ranged (Heavy),8,3,Short,8,2,,200,8,"Cumbersome 4, Limited Ammo 1, Pierce 3, Vicious 1",OTHER PROJECTILE WEAPONS
Vac Attack Mk-127 Concealable Disc Launcher,Ranged (Light),6,3,Short,0,1,,800,7,"Limited Ammo 4, Pierce 1, Vicious 1",OTHER PROJECTILE WEAPONS
AA8 8-Gauge Scatter Gun,Ranged (Heavy),7,6,Short,3,2,,550,4,"Blast 3, Knockdown",SLUGTHROWERS
Arquebus,Ranged (Heavy),9,5,Long,3,4,,"1,200",5,"Cumbersome 3, Prepare 1",SLUGTHROWERS
"ASP-9 ""Vrelt"" Autopistol",Ranged (Light),4,5,Short,1,0,,150,4,Auto-fire,SLUGTHROWERS
Berserker Rifle,Ranged (Heavy),7,4,Medium,4,0,(Restricted),600,5,"Burn 1, Cumbersome 3, Disorient 1",SLUGTHROWERS
KS-23 Hammer,Ranged (Heavy),8,4,Short,5,4,,"1,500",5,"Blast 6, Knockdown",SLUGTHROWERS
"Model 57 ""Homesteader"" Hunting Rifle (standard rounds)",Ranged (Heavy),7,5,Long,5,4,,500,6,"Accurate 1, Cumbersome 2",SLUGTHROWERS
"Model 57 ""Homesteader"" Hunting Rifle (detonator rounds)",Ranged (Heavy),7,5,Long,5,4,,500,6,"Accurate 1, Blast 4,Cumbersome 2, Knockdown",SLUGTHROWERS
DF-D1 Duo-Flechette Rifle,Ranged (Heavy),9,3,Short,3,3,(Restricted),"1,000",5,"Blast 4, Limited Ammo 5, Linked 1, Vicious 2",SLUGTHROWERS
FC1 Flechette Launcher (anti-infantry),Gunnery,8,3,Medium,6,4,(Restricted),"2,500",6,"Blast 8, Cumbersome 3, Limited Ammo 4, Pierce 6, Prepare 1, Vicious 1",SLUGTHROWERS
FC1 Flechette Launcher (anti-vehicle),Gunnery,10,2,Medium,6,4,(Restricted),"2,500",6,"Breach 2, Cumbersome 3, Limited Ammo 4, Prepare 1, Vicious 3",SLUGTHROWERS
Model 77 Air Rifle,Ranged (Heavy),6,NA,Long,3,3,,"1,100",6,"Pierce 4, Stun Damage",SLUGTHROWERS
FWG-5 Flechette Pistol,Ranged (Light),6,3,Short,1,2,(Restricted),825,7,"Guided 3, Limited Ammo 3",SLUGTHROWERS
FWG-7 Flechette Smart Carbine,Ranged (Heavy),5,3,Medium,5,3,,"1,800",7,"Blast 4, Guided 2, Pierce 3",SLUGTHROWERS
Fyr Assault Carbine,Ranged (Heavy),6,5,Short,4,1,,250,4,"Auto-fire, Inaccurate 1",SLUGTHROWERS
"KD-30 ""Dissuader"" Pistol",Ranged (Light),4,5,Short,2,0,,350,6,"Pierce 2, Vicious 1",SLUGTHROWERS
"Mark V ""Sand Panther"" Hunting Rifle",Ranged (Heavy),7,5,Long,5,2,,"1,750",7,"Accurate 1, Cumbersome 2",SLUGTHROWERS
"Model C ""Fiver"" Self-Defense Pistol",Ranged (Light),5,4,Short,2,1,,200,4,"Accurate 1, Limited Ammo 5",SLUGTHROWERS
"Model 134a ""Buzzsaw"" Rotary Cannon",Gunnery,12,3,Long,8,4,(Restricted),"4,500",7,"Auto-fire, Cumbersome 6, Pierce 3",SLUGTHROWERS
Model 38 Sharpshooter's Rifle (standard penetrator ammunition),Ranged (Heavy),8,3,Extreme,5,4,,"3,000",6,"Accurate 2, Pierce 3",SLUGTHROWERS
Model 38 Sharpshooter's Rifle (detonator round),Ranged (Heavy),8,3,Extreme,5,4,,"3,000",6,"Accurate 2, Blast 5, Knockdown",SLUGTHROWERS
"Model 4 ""Thunderhead"" Scatter Gun",Ranged (Heavy),7,4,Short,4,3,,700,5,"Blast 5, Knockdown, Vicious 1",SLUGTHROWERS
Panic Pistol,Ranged (Light),6,5,Short,1,0,,400,3,Inaccurate 1,SLUGTHROWERS
SH-9 Slugthrower Pistol,Ranged (Light),4,5,Short,1,0,,250,4,"Limited Ammo 5, Pierce 2",SLUGTHROWERS
Shard Shooter,Ranged (Light),5,3,Medium,4,2,,"1,500",7,"Auto-fire, Pierce 1",SLUGTHROWERS
Slugthrower Pistol,Ranged (Light),4,5,Short,1,0,,100,3,,SLUGTHROWERS
Slugthrower Rifle,Ranged (Heavy),7,5,Medium,5,1,,250,3,Cumbersome 2,SLUGTHROWERS
Underslung Scattergun (GaG),Ranged (Heavy),6,5,Short,-,-,,750,5,"Blast 5, Knockdown, Limited Ammo 1",SLUGTHROWERS
Underslung Scattergun (FC),Ranged (Heavy),6,5,Short,-,-,(Restricted),750,5,"Blast 5, Knockdown, Limited Ammo 1",SLUGTHROWERS
Verpine Heavy Shatter Rifle,Gunnery,15,2,Extreme,4,4,,"45,000",8,"Accurate 2, Knockdown, Pierce 6",SLUGTHROWERS
Verpine Shatter Pistol,Ranged (Light),8,3,Medium,1,2,,"15,000",8,"Knockdown, Pierce 2",SLUGTHROWERS
Verpine Shatter Rifle,Ranged (Heavy),12,3,Extreme,3,3,,"30,000",8,"Knockdown, Pierce 4",SLUGTHROWERS
Vodran Hunting Rifle,Ranged (Heavy),7,4,Long,4,2,,800,7,Cumbersome 2,SLUGTHROWERS
Ascian Throwing Dagger,Ranged (Light),+1,2,Short,1,0,,65,7,"Pierce 2, Limited Ammo 1",THROWN (NON-GRENADE)
Aurateran Boomerang,Ranged (Light),4,5,Medium,1,0,,65,6,"Guided 1, Limited Ammo 1",THROWN (NON-GRENADE)
Bola,Ranged (Light),2,-,Short,1,2,,20,2,"Ensnare 3, Knockdown, Limited Ammo 1",THROWN (NON-GRENADE)
Kyuzo War Shield (thrown),Ranged (Light),+1,4,Short,3,0,,750,8,"Cumbersome 3, Defensive 1, Deflection 2, Disorient 1, Limited Ammo 1",THROWN (NON-GRENADE)
Net,Ranged (Light),2,-,Short,3,2,,20,2,"Ensnare 3, Knockdown, Limited Ammo 1",THROWN (NON-GRENADE)
Repulsor Throwing Razor,Ranged (Light),5,2,Medium,2,1,,850,7,"Guided 2, Limited Ammo 1, Pierce 2, Vicious 1",THROWN (NON-GRENADE)
Vibrorang,Ranged (Light),4,2,Medium,1,0,,300,4,"Limited Ammo 1, Pierce 2, Vicious 1",THROWN (NON-GRENADE)
Voss Warspear (thrown),Ranged (Light),+2,4,Short,4,2,,215,8,"Defensive 2, Limited Ammo 1",THROWN (NON-GRENADE)
Ion Thruster Gun,Ranged (Heavy),5,4,Short,8,0,,300,2,"Concussive 1, Cumbersome 5, Ion, Prepare 1",TOOLS AS WEAPONS
Luma Flare,Gunnery,6,3,Long,1,-,,50,4,"Blast 4, Burn 4, Disorient 2, Inaccurate 2, Prepare 2, Limited Ammo 1",TOOLS AS WEAPONS
Multi-Goo Gun,Ranged (Light),2,NA,Short,2,1,,250,1,"Disorient 1, Ensnare 4, Knockdown",TOOLS AS WEAPONS
Redirection Crystal,Skulduggery,9,4,Short,-,-,(Restricted),500,9,Limited Ammo 1,TOOLS AS WEAPONS
Repulsor Gun,Ranged (Heavy),3,5,Short,5,0,,200,3,Knockdown,TOOLS AS WEAPONS
Rivet Gun,Ranged (Light),4,3,Engaged,4,1,,900,1,"Ensnare 1, Inaccurate 1, Limited Ammo 1",TOOLS AS WEAPONS
